library_name,library_base_url,book_club_name,book_club_url,rss_url,notes
Alameda County Library,https://aclibrary.bibliocommons.com/,,,,
Alcona County Library,https://alcona.bibliocommons.com/,,,,
Allegheny County Libraries,https://acl.bibliocommons.com/,,,,
Allendale Township Library,https://allendale.bibliocommons.com/,,,,
Almont District Library,https://adl.bibliocommons.com/,,,,
Alvah N. Belding Memorial Library,https://belding.bibliocommons.com/,,,,
Annapolis Valley Regional Library,https://samepageavrl.bibliocommons.com/,,,,
Anytown Public Library,https://any-kids-2012.bibliocommons.com/,,,,
Anytown Public Library,https://any-src-2016.bibliocommons.com/,,,,
Anytown Public Library,https://any-src-2017.bibliocommons.com/,,,,
Anytown Public Library,https://any-teens-2012.bibliocommons.com/,,,,
Anytown Public Library,https://any.bibliocommons.com/,,,,
Arapahoe Libraries,https://arapahoelibraries.bibliocommons.com/,,,,
Arrowwood Municipal Library,https://arrowwood.bibliocommons.com/,,,,
Aurora Public Library,https://aurora.bibliocommons.com/,,,,
Austin Public Library,https://austin.bibliocommons.com/,,,,
Barnwell Public Library,https://barnwell.bibliocommons.com/,,,,
Barrie Public Library,https://barrie.bibliocommons.com/,,,,
Bay City Public School,https://bcc.bibliocommons.com/,,,,
Bay City T.L. Handy Library,https://bch.bibliocommons.com/,,,,
Bay City Western Media Center,https://bcw.bibliocommons.com/,,,,
Bay County Library System,https://bcls.bibliocommons.com/,,,,
Belleville Public Library,https://belleville.bibliocommons.com/,,,,
Bellingham Public Library,https://bellingham-adults-2014.bibliocommons.com/,,,,
Bellingham Public Library,https://bellingham-teens-2014.bibliocommons.com/,,,,
Bellingham Public Library,https://bellingham.bibliocommons.com/,,,,
Bellingham Public Library,https://wcls-bpl-summer-2015.bibliocommons.com/,,,,
Beverly Hills Public Library,https://beverlyhills.bibliocommons.com/,,,,
Boca Raton Public Library,https://bocalibrary.bibliocommons.com/,,,,
Boston Public Library,https://boston-teens-2015.bibliocommons.com/,,,,
Boston Public Library,https://bpl-polaris.bibliocommons.com/,,,,
Boston Public Library,https://bpl-summer-2014.bibliocommons.com/,,,,
Boston Public Library,https://bpl-teens-2016.bibliocommons.com/,,,,
Bowen Island Public Library,https://bowenlibrary.bibliocommons.com/,,,,
Boyne District Library,https://bdl.bibliocommons.com/,,,,
Bradford Public Library,https://bradford.bibliocommons.com/,,,,
Brantford Public Library,https://brantford.bibliocommons.com/,,,,
Brighton Public Library,https://brighton.bibliocommons.com/,,,,
Brockville Public Library,https://brockville.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-adults-2013.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-adults-2015.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-adults.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-kids-2013.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-kids-2015.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-kids.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-src-adults.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-src-kids.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-src-teens.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-teens-2013.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-teens-2015.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn-teens.bibliocommons.com/,,,,
Brooklyn Public Library,https://brooklyn.bibliocommons.com/,,,,
Bruce County Public Library,https://brucecounty.bibliocommons.com/,,,,
Burlingame Public Library,https://burlingame.bibliocommons.com/,,,,
Burlington County Library System,https://bclsnj.bibliocommons.com/,,,,
Burlington Public Library,https://burlington.bibliocommons.com/,,,,
Burnaby Public Library,https://burnaby.bibliocommons.com/,,,,
Caledon Public Library,https://caledon.bibliocommons.com/,,,,
Calgary Public Library,https://calgary.bibliocommons.com/,,,,
Cambridge Public Library,https://cambridgepl.bibliocommons.com/,,,,
Canton Public Library,https://cantonpl.bibliocommons.com/,,,,
Cape Breton Regional Library,https://samepagecbrl.bibliocommons.com/,,,,
Carleton Place Public Library,https://carletonplace.bibliocommons.com/,,,,
Carmangay Municipal Library,https://carmangay.bibliocommons.com/,,,,
Carmel Clay Public Library,https://carmel.bibliocommons.com/,,,,
Caro Area District Library,https://carolibrary.bibliocommons.com/,,,,
Carson City Public Library,https://carsoncity.bibliocommons.com/,,,,
Cedar Springs Public Library,https://cedarsprings.bibliocommons.com/,,,,
Central Arkansas Library System,https://cals.bibliocommons.com/,,,,
