library_name,slug,bookclub_rss_url
Allegheny County Libraries,acl,https://gateway.bibliocommons.com/v2/libraries/acl/rss/events?q=book%20club
Alameda County Library,aclibrary,https://gateway.bibliocommons.com/v2/libraries/aclibrary/rss/events?q=book%20club
Almont District Library,adl,https://gateway.bibliocommons.com/v2/libraries/adl/rss/events?q=book%20club
Alcona County Library,alcona,https://gateway.bibliocommons.com/v2/libraries/alcona/rss/events?q=book%20club
Allendale Township Library,allendale,https://gateway.bibliocommons.com/v2/libraries/allendale/rss/events?q=book%20club
House of Anansi Press,anansi,https://gateway.bibliocommons.com/v2/libraries/anansi/rss/events?q=book%20club
Anytown Public Library,any,https://gateway.bibliocommons.com/v2/libraries/any/rss/events?q=book%20club
Anytown Public Library,any-kids-2012,https://gateway.bibliocommons.com/v2/libraries/any-kids-2012/rss/events?q=book%20club
Anytown Public Library,any-src-2016,https://gateway.bibliocommons.com/v2/libraries/any-src-2016/rss/events?q=book%20club
Anytown Public Library,any-src-2017,https://gateway.bibliocommons.com/v2/libraries/any-src-2017/rss/events?q=book%20club
Anytown Public Library,any-teens-2012,https://gateway.bibliocommons.com/v2/libraries/any-teens-2012/rss/events?q=book%20club
Arapahoe Libraries,arapahoelibraries,https://gateway.bibliocommons.com/v2/libraries/arapahoelibraries/rss/events?q=book%20club
Arrowwood Municipal Library,arrowwood,https://gateway.bibliocommons.com/v2/libraries/arrowwood/rss/events?q=book%20club
Aurora Public Library,aurora,https://gateway.bibliocommons.com/v2/libraries/aurora/rss/events?q=book%20club
Austin Public Library,austin,https://gateway.bibliocommons.com/v2/libraries/austin/rss/events?q=book%20club
Barnwell Public Library,barnwell,https://gateway.bibliocommons.com/v2/libraries/barnwell/rss/events?q=book%20club
Barrie Public Library,barrie,https://gateway.bibliocommons.com/v2/libraries/barrie/rss/events?q=book%20club
Bay City Public School,bcc,https://gateway.bibliocommons.com/v2/libraries/bcc/rss/events?q=book%20club
Bay City T.L. Handy Library,bch,https://gateway.bibliocommons.com/v2/libraries/bch/rss/events?q=book%20club
Bay County Library System,bcls,https://gateway.bibliocommons.com/v2/libraries/bcls/rss/events?q=book%20club
Burlington County Library System,bclsnj,https://gateway.bibliocommons.com/v2/libraries/bclsnj/rss/events?q=book%20club
Bay City Western Media Center,bcw,https://gateway.bibliocommons.com/v2/libraries/bcw/rss/events?q=book%20club
Boyne District Library,bdl,https://gateway.bibliocommons.com/v2/libraries/bdl/rss/events?q=book%20club
Alvah N. Belding Memorial Library,belding,https://gateway.bibliocommons.com/v2/libraries/belding/rss/events?q=book%20club
Belleville Public Library,belleville,https://gateway.bibliocommons.com/v2/libraries/belleville/rss/events?q=book%20club
Bellingham Public Library,bellingham,https://gateway.bibliocommons.com/v2/libraries/bellingham/rss/events?q=book%20club
Bellingham Public Library,bellingham-adults-2014,https://gateway.bibliocommons.com/v2/libraries/bellingham-adults-2014/rss/events?q=book%20club
Bellingham Public Library,bellingham-teens-2014,https://gateway.bibliocommons.com/v2/libraries/bellingham-teens-2014/rss/events?q=book%20club
Beverly Hills Public Library,beverlyhills,https://gateway.bibliocommons.com/v2/libraries/beverlyhills/rss/events?q=book%20club
Boca Raton Public Library,bocalibrary,https://gateway.bibliocommons.com/v2/libraries/bocalibrary/rss/events?q=book%20club
Boston Public Library,boston-teens-2015,https://gateway.bibliocommons.com/v2/libraries/boston-teens-2015/rss/events?q=book%20club
Bowen Island Public Library,bowenlibrary,https://gateway.bibliocommons.com/v2/libraries/bowenlibrary/rss/events?q=book%20club
Boston Public Library,bpl-polaris,https://gateway.bibliocommons.com/v2/libraries/bpl-polaris/rss/events?q=book%20club
Boston Public Library,bpl-summer-2014,https://gateway.bibliocommons.com/v2/libraries/bpl-summer-2014/rss/events?q=book%20club
Boston Public Library,bpl-teens-2016,https://gateway.bibliocommons.com/v2/libraries/bpl-teens-2016/rss/events?q=book%20club
Bradford Public Library,bradford,https://gateway.bibliocommons.com/v2/libraries/bradford/rss/events?q=book%20club
County of Brant Public Library,brant,https://gateway.bibliocommons.com/v2/libraries/brant/rss/events?q=book%20club
Brantford Public Library,brantford,https://gateway.bibliocommons.com/v2/libraries/brantford/rss/events?q=book%20club
Brighton Public Library,brighton,https://gateway.bibliocommons.com/v2/libraries/brighton/rss/events?q=book%20club
Brockville Public Library,brockville,https://gateway.bibliocommons.com/v2/libraries/brockville/rss/events?q=book%20club
Brooklyn Public Library,brooklyn,https://gateway.bibliocommons.com/v2/libraries/brooklyn/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-adults,https://gateway.bibliocommons.com/v2/libraries/brooklyn-adults/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-adults-2013,https://gateway.bibliocommons.com/v2/libraries/brooklyn-adults-2013/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-adults-2015,https://gateway.bibliocommons.com/v2/libraries/brooklyn-adults-2015/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-kids,https://gateway.bibliocommons.com/v2/libraries/brooklyn-kids/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-kids-2013,https://gateway.bibliocommons.com/v2/libraries/brooklyn-kids-2013/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-kids-2015,https://gateway.bibliocommons.com/v2/libraries/brooklyn-kids-2015/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-src-adults,https://gateway.bibliocommons.com/v2/libraries/brooklyn-src-adults/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-src-kids,https://gateway.bibliocommons.com/v2/libraries/brooklyn-src-kids/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-src-teens,https://gateway.bibliocommons.com/v2/libraries/brooklyn-src-teens/rss/events?q=book%20club
Brooklyn Public Library,brooklyn-teens,https://gateway.bibliocommons.com/v2/libraries/brooklyn-teens/rss/events?q=book%20club
