library_name,slug,bookclub_rss_url
Alameda County Library,aclibrary,https://gateway.bibliocommons.com/v2/libraries/aclibrary/rss/events?q=book%20club
Arapahoe Libraries,arapahoelibraries,https://gateway.bibliocommons.com/v2/libraries/arapahoelibraries/rss/events?q=book%20club
Aurora Public Library,aurora,https://gateway.bibliocommons.com/v2/libraries/aurora/rss/events?q=book%20club
Burlington County Library System,bclsnj,https://gateway.bibliocommons.com/v2/libraries/bclsnj/rss/events?q=book%20club
Canton Public Library,cantonpl,https://gateway.bibliocommons.com/v2/libraries/cantonpl/rss/events?q=book%20club
Contra Costa County Library,ccclib,https://gateway.bibliocommons.com/v2/libraries/ccclib/rss/events?q=book%20club
Clark County Public Library,ccplohio,https://gateway.bibliocommons.com/v2/libraries/ccplohio/rss/events?q=book%20club
Chandler Public Library,chandler,https://gateway.bibliocommons.com/v2/libraries/chandler/rss/events?q=book%20club
Chicago Public Library,chipublib,https://gateway.bibliocommons.com/v2/libraries/chipublib/rss/events?q=book%20club
Christchurch City Libraries NgÄ Kete WÄnanga o Åtautahi,christchurch,https://gateway.bibliocommons.com/v2/libraries/christchurch/rss/events?q=book%20club
Cincinnati & Hamilton County Public Library,cincinnatilibrary,https://gateway.bibliocommons.com/v2/libraries/cincinnatilibrary/rss/events?q=book%20club
Charlotte Mecklenburg Library,cmlibrary,https://gateway.bibliocommons.com/v2/libraries/cmlibrary/rss/events?q=book%20club
Dayton Metro Library,dayton,https://gateway.bibliocommons.com/v2/libraries/dayton/rss/events?q=book%20club
Denton Public Library,denton,https://gateway.bibliocommons.com/v2/libraries/denton/rss/events?q=book%20club
East Lansing Public Library,elpl,https://gateway.bibliocommons.com/v2/libraries/elpl/rss/events?q=book%20club
Edmonton Public Library,epl,https://gateway.bibliocommons.com/v2/libraries/epl/rss/events?q=book%20club
Evanston Public Library,evanstonlibrary,https://gateway.bibliocommons.com/v2/libraries/evanstonlibrary/rss/events?q=book%20club
Frisco Public Library,friscolibrary,https://gateway.bibliocommons.com/v2/libraries/friscolibrary/rss/events?q=book%20club
Fulton County Library System,fulcolibrary,https://gateway.bibliocommons.com/v2/libraries/fulcolibrary/rss/events?q=book%20club
Fort Vancouver Regional Libraries,fvrlibraries,https://gateway.bibliocommons.com/v2/libraries/fvrlibraries/rss/events?q=book%20club
Glenview Public Library,glenviewpl,https://gateway.bibliocommons.com/v2/libraries/glenviewpl/rss/events?q=book%20club
Greene County Public Library,greenelibrary,https://gateway.bibliocommons.com/v2/libraries/greenelibrary/rss/events?q=book%20club
Grand Rapids Public Library,grpl,https://gateway.bibliocommons.com/v2/libraries/grpl/rss/events?q=book%20club
Guelph Public Library,guelphpl,https://gateway.bibliocommons.com/v2/libraries/guelphpl/rss/events?q=book%20club
Halifax Public Libraries,halifax,https://gateway.bibliocommons.com/v2/libraries/halifax/rss/events?q=book%20club
Hennepin County Library,hclib,https://gateway.bibliocommons.com/v2/libraries/hclib/rss/events?q=book%20club
Harris County Public Library,hcpl,https://gateway.bibliocommons.com/v2/libraries/hcpl/rss/events?q=book%20club
Herrick District Library,herrickdl,https://gateway.bibliocommons.com/v2/libraries/herrickdl/rss/events?q=book%20club
Innisfil Public Library,innisfil,https://gateway.bibliocommons.com/v2/libraries/innisfil/rss/events?q=book%20club
Jefferson County Public Library,jeffcolibrary,https://gateway.bibliocommons.com/v2/libraries/jeffcolibrary/rss/events?q=book%20club
Johnson County Library,jocolibrary,https://gateway.bibliocommons.com/v2/libraries/jocolibrary/rss/events?q=book%20club
King County Library System,kcls,https://gateway.bibliocommons.com/v2/libraries/kcls/rss/events?q=book%20club
Kent District Library,kdl,https://gateway.bibliocommons.com/v2/libraries/kdl/rss/events?q=book%20club
Kenton County Public Library,kentonlibrary,https://gateway.bibliocommons.com/v2/libraries/kentonlibrary/rss/events?q=book%20club
Kitsap Regional Library,krl,https://gateway.bibliocommons.com/v2/libraries/krl/rss/events?q=book%20club
Laurel County Public Library,laurellibrary,https://gateway.bibliocommons.com/v2/libraries/laurellibrary/rss/events?q=book%20club
Lawrence Public Library,lawrence,https://gateway.bibliocommons.com/v2/libraries/lawrence/rss/events?q=book%20club
Central Rappahannock Regional Library,librarypoint,https://gateway.bibliocommons.com/v2/libraries/librarypoint/rss/events?q=book%20club
Marin County Free Library,marinlibrary,https://gateway.bibliocommons.com/v2/libraries/marinlibrary/rss/events?q=book%20club
